"TEAM_ABBREVIATION","START_POSITION","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","AST","STL","BLK","TO","PF","PTS","PLUS_MINUS"
2,2,5.35,7,12,0.583,1,3,0.333,2,5,0.4,0,4,8,1,1,2,0,17,18
2,2,14.88,11,20,0.55,1,6,0.167,9,11,0.818,0,7,8,1,0,6,2,32,22
2,2,6.05,5,10,0.5,1,3,0.333,2,4,0.5,2,5,2,0,0,4,1,13,19
2,2,5.77,7,13,0.538,1,3,0.333,2,2,1,2,8,12,1,0,1,0,17,32
2,2,19.4,11,19,0.579,2,6,0.333,14,15,0.933,0,8,5,0,0,6,3,38,2
2,2,14.37,13,23,0.565,0,1,0,6,9,0.667,4,2,5,4,0,5,2,32,4
2,2,17.98,10,18,0.556,2,4,0.5,3,3,1,1,7,9,0,1,3,1,25,-6
2,2,14.02,7,14,0.5,0,2,0,1,2,0.5,1,5,7,2,1,3,0,15,4
2,2,17.67,14,19,0.737,6,8,0.75,9,13,0.692,0,6,4,2,3,0,1,43,11
2,2,18.87,8,17,0.471,1,3,0.333,7,8,0.875,0,5,6,2,0,5,3,24,11
2,2,15.83,8,17,0.471,0,4,0,5,7,0.714,0,6,6,1,0,4,3,21,-8
2,2,14.05,6,13,0.462,1,4,0.25,6,9,0.667,0,5,7,3,0,5,1,19,2
2,2,12.75,10,15,0.667,3,4,0.75,0,0,0,2,5,8,3,0,3,3,23,16
2,2,21.32,8,23,0.348,1,3,0.333,0,0,0,1,8,8,3,1,4,1,17,6
2,2,14.07,6,18,0.333,0,3,0,7,9,0.778,3,5,7,2,0,5,5,19,-10
2,2,12.63,9,18,0.5,0,3,0,4,6,0.667,1,0,6,3,0,1,1,22,-15
2,2,17.2,22,33,0.667,8,10,0.8,9,12,0.75,3,4,4,0,0,2,2,61,16
2,2,7.22,8,12,0.667,0,2,0,4,5,0.8,1,8,7,4,0,2,1,20,14
2,2,12.63,13,19,0.684,1,2,0.5,4,6,0.667,0,4,4,0,0,1,0,31,21
2,2,9.4,15,22,0.682,1,5,0.2,2,5,0.4,1,6,3,4,0,8,1,33,9
2,2,14.47,16,23,0.696,4,8,0.5,6,8,0.75,2,7,6,2,0,3,2,42,19
2,2,18.27,14,26,0.538,4,8,0.5,4,7,0.571,1,12,9,2,0,2,1,36,-2
2,2,16.98,12,22,0.545,2,5,0.4,11,14,0.786,1,8,3,5,0,4,2,37,8
2,2,15.35,4,13,0.308,1,6,0.167,4,6,0.667,0,7,5,0,0,5,2,13,0
2,2,16.78,11,20,0.55,3,7,0.429,6,8,0.75,1,7,12,3,1,7,2,31,3
2,2,14.32,9,19,0.474,0,3,0,6,8,0.75,1,7,11,2,2,1,1,24,6
2,2,15.1,13,22,0.591,1,3,0.333,3,6,0.5,1,7,7,6,0,2,3,30,14
2,2,18.17,12,20,0.6,1,5,0.2,9,9,1,1,2,3,0,0,3,1,34,-17
2,2,3.72,8,15,0.533,1,3,0.333,1,1,1,0,7,6,1,0,4,4,18,21
2,2,13.3,9,15,0.6,2,4,0.5,7,13,0.538,2,11,6,1,0,5,1,27,4
2,2,14.8,10,19,0.526,0,4,0,9,11,0.818,1,7,4,2,0,3,1,29,10
2,2,14.72,11,21,0.524,3,7,0.429,5,8,0.625,1,3,6,1,0,3,1,30,0
2,2,20.87,13,25,0.52,0,3,0,8,10,0.8,2,6,6,1,0,2,4,34,15
2,2,12.52,7,13,0.538,0,1,0,7,8,0.875,1,7,10,2,1,3,3,21,17
2,2,17.07,8,18,0.444,0,4,0,9,10,0.9,2,6,7,2,0,4,1,25,-15
2,2,1.37,12,21,0.571,2,5,0.4,10,12,0.833,3,4,5,0,0,4,6,36,-1
2,2,17.42,12,17,0.706,1,4,0.25,7,11,0.636,0,5,6,1,1,6,2,32,1
2,2,11.25,13,22,0.591,3,6,0.5,3,3,1,1,2,5,2,0,3,1,32,19
2,2,13.78,12,18,0.667,0,0,0,6,7,0.857,1,3,5,1,0,1,1,30,1
2,2,11.92,5,13,0.385,0,1,0,5,8,0.625,1,7,8,1,0,3,1,15,17
2,2,15.57,10,16,0.625,1,4,0.25,5,8,0.625,0,5,5,0,1,8,0,26,-11
2,2,15.73,8,15,0.533,5,9,0.556,5,8,0.625,1,5,10,0,1,4,0,26,4
2,2,19.72,12,23,0.522,4,9,0.444,5,6,0.833,0,8,8,0,0,2,3,33,-10
2,2,11.8,7,14,0.5,0,4,0,5,9,0.556,0,8,4,0,0,2,2,19,0
2,2,21.63,16,28,0.571,4,9,0.444,2,6,0.333,4,4,6,2,0,0,2,38,-4
2,2,6.67,8,11,0.727,1,2,0.5,1,2,0.5,2,4,8,1,1,1,1,18,14
2,2,12.23,8,14,0.571,1,3,0.333,7,7,1,0,9,7,3,0,3,3,24,16
2,2,9.82,13,17,0.765,0,1,0,4,5,0.8,1,8,9,1,0,3,1,30,24
2,2,16.62,9,12,0.75,0,2,0,7,10,0.7,2,7,9,4,0,2,2,25,6
2,2,14.53,6,16,0.375,1,4,0.25,4,6,0.667,1,13,6,2,0,5,3,17,-2
2,2,11.02,10,15,0.667,0,2,0,4,5,0.8,1,6,9,2,0,6,2,24,18
2,2,6.57,9,12,0.75,0,0,0,3,5,0.6,4,10,8,2,0,7,3,21,9
2,2,9.3,7,17,0.412,1,4,0.25,6,8,0.75,0,5,2,3,0,1,2,21,-21
2,2,12.97,8,15,0.533,2,5,0.4,5,8,0.625,3,2,6,2,1,6,2,23,-6
2,2,14.27,8,13,0.615,1,3,0.333,9,10,0.9,0,5,4,1,1,3,0,26,-4
2,2,12.45,10,17,0.588,3,5,0.6,4,6,0.667,1,5,3,1,1,3,2,27,3
2,2,13.1,9,19,0.474,1,3,0.333,9,11,0.818,0,8,8,3,0,1,3,28,0
2,2,9.35,11,14,0.786,2,4,0.5,11,11,1,0,5,4,1,1,4,0,35,1
2,2,13.58,7,13,0.538,3,6,0.5,5,7,0.714,0,9,7,3,0,3,0,22,7
2,2,5.08,5,11,0.455,0,2,0,11,11,1,1,5,7,1,1,4,0,21,23
2,2,6.7,6,13,0.462,0,0,0,1,3,0.333,2,4,5,1,0,3,0,13,14
2,2,7.92,13,18,0.722,0,0,0,4,4,1,1,3,7,1,1,3,1,30,7
2,2,12.97,14,18,0.778,1,1,1,10,11,0.909,0,6,4,1,0,6,0,39,0
2,2,5.97,13,21,0.619,4,7,0.571,3,6,0.5,0,3,2,0,0,3,0,33,14
2,2,12.53,9,13,0.692,0,0,0,7,9,0.778,1,7,10,0,0,5,1,25,5
2,2,13.15,6,13,0.462,1,3,0.333,5,9,0.556,0,5,6,1,0,4,4,18,-1
2,2,12.02,13,20,0.65,1,3,0.333,8,8,1,2,6,8,0,1,1,2,35,3
2,2,10.68,9,14,0.643,3,5,0.6,4,5,0.8,0,3,5,1,0,6,2,25,16
2,2,18.23,11,19,0.579,1,2,0.5,3,5,0.6,1,6,6,2,1,5,2,26,-3
2,2,12.63,9,17,0.529,4,7,0.571,3,4,0.75,0,4,13,0,0,4,3,25,-8
2,2,14.02,5,11,0.455,0,1,0,7,9,0.778,0,6,8,1,0,2,0,17,8
2,2,21,12,23,0.522,5,10,0.5,8,8,1,3,9,4,2,0,2,2,37,8
2,2,1.77,11,26,0.423,1,5,0.2,9,12,0.75,4,6,11,3,1,6,3,32,-1
2,2,19.68,8,22,0.364,2,4,0.5,7,9,0.778,3,3,8,4,0,3,1,25,-9
2,2,17.38,15,25,0.6,1,2,0.5,2,4,0.5,3,8,4,2,2,1,2,33,8
2,2,15.12,7,21,0.333,1,5,0.2,0,0,0,1,10,5,2,0,2,0,15,-32
2,2,16.55,7,17,0.412,1,3,0.333,2,2,1,1,7,7,3,3,2,2,17,29
2,2,17.58,7,16,0.438,1,5,0.2,3,4,0.75,2,16,10,0,0,2,0,18,-3
2,2,16.82,8,17,0.471,1,2,0.5,15,16,0.938,2,6,4,2,1,2,1,32,21
